"probeset_id","H1.CEL","H2.CEL","H3.CEL","H4.CEL","H5.CEL","H6.CEL","H7.CEL","H8.CEL","H9.CEL","H10.CEL","H11.CEL","H12.CEL","H13.CEL","H14.CEL","H15.CEL","H16.CEL","Symbol","Description","Chromosome","GenBank","Cytoband","UniGene","PubMed","LocusLink"
"7974617",4.45549162062847,5.27947129564447,4.46270675067016,4.32337006906127,4.23878685958712,4.64961545906341,4.93262815702213,3.4154882710497,3.49952702421510,1.89530262133331,5.1586601753465,5.47476049957678,4.31759350462347,6.20437551131909,5.29682445864937,3.37573453858316,"","","","","","","",""
"8043502",8.38926564527282,2.13422093976063,3.93357263826102,8.00674683244059,6.5765221379205,3.37989816352469,4.71479501111816,8.33440737931137,2.84599177066457,6.09423606984577,5.51569983828404,7.4235781709818,4.74308405554959,6.01569380710515,6.1811025507538,4.80787007829978,"","","","","","","",""
"7948123",4.4944156103975,3.8972404255748,5.19021976366016,5.22342254993494,5.31505896631662,5.21412480535285,5.4032677223393,4.94016675048282,4.64673869830785,5.32409051603798,5.4905701304462,5.62877359520165,3.77399632511117,3.87381319835909,4.01435529297707,5.76208300356767,"","","","","","","",""
"8059985",8.34256363429458,8.26584942144085,7.92338691550471,8.47601707907175,8.68324027724332,9.19081236791614,8.68671061310562,8.3040090046511,8.30720080914081,8.86040417908167,8.87958324961278,8.2916311829009,9.19187350883033,8.92418898213859,8.62746092712665,9.05400731074992,"LOC151174","hypothetical protein LOC151174","2","AK057399","2q37.3","Hs.424165","14702039","151174"
"7928909",6.4867143730307,7.46695333712393,7.33234990037387,6.96958798089728,7.77735395763433,7.64529816394863,7.12917996361867,7.2336196767597,6.71726514496006,7.48574882137778,6.85099939471647,7.3805043561136,6.78920757534734,7.74139956916985,7.51711818515321,7.37608196665007,"FAM35A","family with sequence similarity 35, member A","10","NM_019054","10q23.2","Hs.500419","8619474, 9110174, 12477932, 14702039, 15164054, 15489334","54537"
"8051322",6.11623997946937,8.73070787781322,8.88825618102027,7.48300957716455,5.79571500650173,6.02989454966334,7.05354581772798,4.1168637576909,4.9923152518612,8.76762169637446,4.7076352195453,4.53356334821451,8.04439411935845,3.91647664443772,5.20633064787105,6.63488363677538,"XDH","xanthine dehydrogenase","2","NM_000379","2p23.1","Hs.250","7575623, 7829092, 7956358, 7956361, 8135849, 8224915, 8373410, 8661045, 8670112, 8829220, 9023782, 9153281, 9388748, 10968141, 11034305, 11960915, 11993848, 12080414, 12168784, 12456835, 12637268, 12774669, 14761964, 15451061, 16758302, 17081983, 17301077, 17523077, 17622935","7498"
"8113573",8.51908580096363,8.6941489120329,8.06031764744265,8.15228484230658,8.19775729523352,8.9217516954459,8.27719439503486,8.56044748091853,8.24892376793012,8.71035875003286,8.8302616633298,8.62990299200089,8.50501755552812,8.407905043961,8.61871585261098,9.04573236320501,"TSSK1B","testis-specific serine kinase 1B","5","NM_032028","5q22.2","Hs.519507, Hs.701555","12477932, 12556502, 14702039, 15044604, 15761153, 16189514","83942"
"8083677",7.29975751183932,7.28715827825949,7.28253247257496,8.08825822583773,7.24498217037655,7.09391928410816,7.79811533605753,8.77135740899056,6.93899143877554,8.06635832487529,6.47848651208419,7.30533218051152,7.47881005885408,7.43929068104202,6.30669970727279,7.54171616339314,"SCHIP1","schwannomin interacting protein 1","3","NM_014575","3q25.33","Hs.134665","8619474, 9110174, 10669747, 11701967, 12477932, 14702039, 17045569","29970"
"8028380",10.7708868451567,10.0977161297438,10.6907051727451,10.4397166271501,9.41755719620353,10.2981771537197,10.4213600710055,10.3358481032491,10.4347741576156,9.03091537980916,9.69407924690946,10.1471667579019,9.19780643083766,10.5042727849572,9.95132843233613,9.51619247787937,"PSMD8","proteasome (prosome, macropain) 26S subunit, non-ATPase, 8","19","NM_002812","19q13.2","Hs.78466","7621825, 8811196, 9079628, 9811770, 9846577, 10893419, 11163772, 12167863, 12419264, 12477932, 12719574, 12750511, 12808465, 12808466, 12809610, 12830140, 12840737, 12859895, 12914693, 12920286, 12970355, 14527406, 14528300, 14528301, 14550573, 14557625, 14564014, 14614829, 14743216, 15057824, 15231748, 15342556, 15489334, 16189514, 16885229, 17353931","5714"
"7994874",7.5211292787003,7.51924309436118,7.71004873378699,7.6169898551053,7.65835431677408,7.76858134217361,8.01223343589474,8.08044448343484,8.11160518714814,7.36798254368052,7.90388184573618,8.28775854505211,7.53496424980465,7.01022037272037,8.77059782637643,6.89457527317528,"","","","ENST00000287468","","","",""
